#LAMMPS

40000 atoms # the number of atoms
3 atom types # the number of atomic species


0.00 117.915448 xlo xhi #
0.00 117.068785 ylo yhi #
0.00 117.172598 zlo zhi #

Masses

1 132.90545  # Cs
2 207.2  # Pb
3 79.04 # Br


Atoms

154   1  76.986653840      40.940059210     116.703033130 
155   1  83.069076940      40.953250520     116.718438980 
156   1  88.739729870      40.896607960     116.439825980 
157   1  94.247499120      40.832519820     116.672608090 
158   1 100.027077620      40.781189840     116.657699050 
159   1 105.519951780      40.933674280     117.102317500 
160   1 111.865118800      41.098954330     117.174588950 
161   1 117.851095150      46.476527690       0.801004510 
162   1   5.852421710      46.987038910     117.130892290 
163   1  11.734352950      46.490081920       0.895657120 
164   1  17.741923800      46.924273650     117.157524540 
165   1  23.794243090      46.796095040       0.073610870 
166   1  29.987914700      46.829890460       0.019891250 
167   1  35.682749730      46.785778940     116.960480070 
168   1  41.708877640      46.825420770     116.996744990 
169   1  47.296612420      46.404563170       0.586377490 
170   1  53.040217280      46.886813980     117.063643510 
171   1  59.027473190      46.508747360       0.681272460 
172   1  64.783072400      46.861005000     116.848261530 
173   1  70.417723390      46.768071110       0.457911940 
174   1  76.470613390      46.802634500       0.484883830 
175   1  82.138250040      46.810354020       0.116407090 
176   1  88.280571830      46.771487180       0.142208550 
177   1  94.665400890      46.741295140     117.154099410 
178   1 100.410222640      46.767780780       0.393477040 
179   1 106.486917410      46.770150250       0.455371450 
180   1 112.119370450      47.063407560     117.070847280 
181   1 117.873072080      52.165000630       0.584637970 
182   1   5.850213630      53.047664150       0.092184840 
183   1  11.744383310      52.116339820       0.631273390 
184   1  17.653036770      52.935966480       0.149889520 
185   1  23.385583520      52.564839700       0.731483220 
186   1  29.126356050      52.623346000       0.465800680 
187   1  35.234729980      52.657485600       0.659513440 
188   1  40.963885480      52.737970380       0.243462300 
189   1  47.219521660      52.280959600       0.481426280 
190   1  53.130785780      53.034891940     117.096848020 
191   1  59.019785100      52.223410930       0.313533650 
192   1  64.925750100      52.662575750     117.073429770 
193   1  71.277482650      52.610903930     117.049599210 
194   1  76.963306580      52.662439950     116.674154770 
195   1  83.082724480      52.666232970     116.713644280 
196   1  88.729438210      52.667502000     116.375404480 
197   1  94.146400770      52.651854590     116.604183980 
198   1  99.921944200      52.640049370     116.545140710 
199   1 105.612638040      52.607949110     117.001849030 
200   1 111.971844080      52.968218930     117.098945530 
201   1 117.866951240      58.194038370       0.682794680 
202   1   5.869240230      58.683687930     116.986436150 
203   1  11.767034860      58.161401930       0.741523200 
204   1  17.768954730      58.592217400     117.070795730 
205   1  23.807602910      58.434471900     117.225820440 
206   1  29.999720390      58.523570610       0.020178040 
207   1  35.730873380      58.532833090     117.009884730 
208   1  41.725175910      58.553746260     117.061935140 
209   1  47.360675890      58.148390910       0.621944180 
210   1  52.975601970      58.615373610     117.015575750 
211   1  58.748136210      58.397204220       0.551135330 
212   1  64.631058170      58.560391080       0.598060400 
213   1  70.301461110      58.456918670       0.387273010 
214   1  76.429944350      58.502980550       0.434353710 
215   1  82.131210490      58.524769390       0.073105100 
216   1  88.258828220      58.553221790       0.102293240 
217   1  94.647319740      58.554394820      -0.027338250 
218   1 100.453782960      58.489512960       0.350140120 
219   1 106.446184700      58.438726180       0.392325960 
220   1 112.141486670      58.781346710     116.959612990 
221   1 117.890099530      63.889753180       0.448787170 
222   1   5.867928300      64.727989100      -0.052807510 
223   1  11.762234760      63.830659200       0.501759660 
224   1  17.686520040      64.616982130     117.212559310 
225   1  23.411996580      64.252886510       0.668902580 
226   1  29.128832270      64.311594160       0.454034750 
227   1  35.233975330      64.385965620       0.675775590 
228   1  41.016183340      64.449463730       0.307552170 
229   1  47.252212540      64.020460480       0.559933560 
230   1  53.157866240      64.616307820     117.124767930 
231   1  59.465911120      64.274363940     117.230884330 
232   1  65.205636560      64.318915640     116.934465410 
233   1  71.300207310      64.340470350     117.007454570 
234   1  76.941454490      64.355096920     116.642911870 
235   1  83.055483650      64.407260430     116.689431730 
236   1  88.748417880      64.445026820     116.426001950 
237   1  94.265233600      64.493650170     116.709301860 
238   1 100.124343710      64.497909130     116.647005880 
239   1 105.715882450      64.245543950     117.065876820 
240   1 111.998625030      64.690662890     116.998057320 
241   1 117.881077110      69.870432150       0.570822600 
242   1   5.859724920      70.384698930     116.849487160 
243   1  11.765604310      69.860628810       0.606073080 
244   1  17.785547800      70.243113600     116.975656270 
245   1  23.834020680      70.135335400      -0.015848050 
